Date,,A,B,C
2017/7/25,B,0.00015164842118501554,0.00019864209783041316,0.00017098739824958565
2017/7/25,C,0.00013209179813629092,0.00017098739824958565,0.0001504251602112009
2017/7/26,A,0.00010702539888299064,0.00013382562202030819,0.00011680679168701333
2017/7/26,B,0.00013382562202030819,0.0001748375629838405,0.0001505924206579969
2017/7/26,C,0.00011680679168701333,0.0001505924206579969,0.0001330042516997328
2017/7/27,A,0.00011368713193402336,0.00014442303354964532,0.00012572972043760052
2017/7/27,B,0.00014442303354964532,0.00019166459770908337,0.0001647138524399016
2017/7/27,C,0.00012572972043760052,0.0001647138524399016,0.0001447848486799004
2017/7/28,A,9.362283839463362e-05,0.00012304122223224544,0.00010720648475890443
2017/7/28,B,0.00012304122223224544,0.00017051667710840383,0.00014636275966905103
2017/7/28,C,0.00010720648475890443,0.00014636275966905103,0.00012886131230145946
2017/7/31,A,9.717321053445012e-05,0.00012728306333135175,0.00010998779874549652
2017/7/31,B,0.00012728306333135175,0.0001753063888795784,0.00014935137340283745
2017/7/31,C,0.00010998779874549652,0.00014935137340283745,0.0001306383316107309
2017/8/1,A,0.00011526631076615531,0.00015124930582131904,0.000127505969607891
2017/8/1,B,0.00015124930582131904,0.00020696161738576786,0.00017252515717590421
2017/8/1,C,0.000127505969607891,0.00017252515717590421,0.00014758930316432576
2017/8/2,A,0.00010956698240730174,0.00014487089279871743,0.0001220810062674177
2017/8/2,B,0.00014487089279871743,0.00019982865094005925,0.00016646724820225988
2017/8/2,C,0.0001220810062674177,0.00016646724820225988,0.00014245870849336655
2017/8/3,A,0.00015911992132907875,0.0002051748465863166,0.00017122390087695902
2017/8/3,B,0.0002051748465863166,0.00027298336121684585,0.000226173816275586
2017/8/3,C,0.00017122390087695902,0.000226173816275586,0.00019115337870561017
2017/8/4,A,0.00015828165270798686,0.00020376900498685993,0.00017161701438604752
2017/8/4,B,0.00020376900498685993,0.0002707996825364882,0.00022622246664377176
2017/8/4,C,0.00017161701438604752,0.00022622246664377176,0.00019311162941991903
2017/8/7,A,0.00015826264352011228,0.00020409892495753547,0.0001721598035373567
2017/8/7,B,0.00020409892495753547,0.00027109756236509913,0.00022667012612010012
2017/8/7,C,0.0001721598035373567,0.00022667012612010012,0.00019377863931603688
2017/8/8,A,0.00015563645524729964,0.00020005850226247142,0.00016890632583113055
2017/8/8,B,0.00020005850226247142,0.0002648869209394952,0.00022163951163026217
2017/8/8,C,0.00016890632583113055,0.00022163951163026217,0.00018986057078718754
2017/8/9,A,0.0001558656089821998,0.00020055389075035945,0.0001697939507532705
2017/8/9,B,0.00020055389075035945,0.00026584214378209254,0.00022304474957344527
2017/8/9,C,0.0001697939507532705,0.00022304474957344527,0.00019101880023837344
2017/8/10,A,0.00014657205936352614,0.00018585118580771555,0.00015780609355998252
2017/8/10,B,0.00018585118580771555,0.0002426396686210712,0.00020409723115542597
2017/8/10,C,0.00015780609355998252,0.00020409723115542597,0.00017556093687476804
2017/8/11,A,0.00016432296490449016,0.00020782610378116163,0.00017356371576778687
2017/8/11,B,0.00020782610378116163,0.00026909938438112596,0.00022337299415644676
2017/8/11,C,0.00017356371576778687,0.00022337299415644676,0.00018947707725621332
2017/8/14,A,0.00016119619336896944,0.00020512794681919438,0.00016868760547467533
2017/8/14,B,0.00020512794681919438,0.00026716441070406935,0.00021861341617482834
2017/8/14,C,0.00016868760547467533,0.00021861341617482834,0.00018264727813464439
2017/8/15,A,0.00015243415592918193,0.00019303718836024986,0.0001590760509849799
2017/8/15,B,0.00019303718836024986,0.0002505293551100421,0.00020540184938865953
2017/8/15,C,0.0001590760509849799,0.00020540184938865953,0.0001721578338527648
2017/8/16,A,0.00015831303021316128,0.00019817202065844754,0.0001612136742016482
2017/8/16,B,0.00019817202065844754,0.00025365380972176073,0.0002061083638756693
2017/8/16,C,0.0001612136742016482,0.0002061083638756693,0.00017194508431008973
2017/8/17,A,0.00014784487472136826,0.00018470479493586117,0.00014636092988165315
2017/8/17,B,0.00018470479493586117,0.00023698501082405454,0.00018631164667467742
2017/8/17,C,0.00014636092988165315,0.00018631164667467742,0.000151593595781535
2017/8/18,A,0.0001379679567007305,0.0001737291224754565,0.00013382304527341426
2017/8/18,B,0.0001737291224754565,0.00022483258209905627,0.00017208993173481628
2017/8/18,C,0.00013382304527341426,0.00017208993173481628,0.00013756698605136094
2017/8/21,A,0.00013432597082792402,0.00017007493396314972,0.00012884568842220346
2017/8/21,B,0.00017007493396314972,0.00022116691223689387,0.00016709060432834176
2017/8/21,C,0.00012884568842220346,0.00016709060432834176,0.0001308013983420741
2017/8/22,A,0.00012618246828881123,0.00016000912659902192,0.00012008673867802947
2017/8/22,B,0.00016000912659902192,0.00020972741573623886,0.0001571012457474464
2017/8/22,C,0.00012008673867802947,0.0001571012457474464,0.00012207968397743747
2017/8/23,A,0.00012782309655837357,0.00016185999064681345,0.00012105821388119469
2017/8/23,B,0.00016185999064681345,0.00021178590021234033,0.000158052593331891
2017/8/23,C,0.00012105821388119469,0.000158052593331891,0.00012194732521768666
2017/8/24,A,0.00011484992510697935,0.00014276297506355678,0.00010677478719054619
2017/8/24,B,0.00014276297506355678,0.00018435157779373175,0.0001381521332118155
2017/8/24,C,0.00010677478719054619,0.0001381521332118155,0.00010809113865607136
2017/8/25,A,0.00012901052964424297,0.00015499595921758695,0.00011414066720504282
2017/8/25,B,0.00015499595921758695,0.00019409130042119784,0.00014352832898520269
2017/8/25,C,0.00011414066720504282,0.00014352832898520269,0.00011074615132968512
2017/8/28,A,0.00015429020711927539,0.0001838575640666097,0.00014303879675538222
2017/8/28,B,0.0001838575640666097,0.00022701623261373133,0.00017645206263340116
2017/8/28,C,0.00014303879675538222,0.00017645206263340116,0.000143598312328234
2017/8/29,A,0.00012930694238261756,0.00015087579147743808,0.00012174282608162341
2017/8/29,B,0.00015087579147743808,0.00018347532328804111,0.00014832669345846698
2017/8/29,C,0.00012174282608162341,0.00014832669345846698,0.00012644093370078134
2017/8/30,A,0.00012624579740788515,0.00014665088883952419,0.00011962224554387225
2017/8/30,B,0.00014665088883952419,0.00017863704253718028,0.0001452711737491943
2017/8/30,C,0.00011962224554387225,0.0001452711737491943,0.0001249886190606481
2017/8/31,A,0.00011343190983335471,0.00013567803295776496,0.00011054070038888852
2017/8/31,B,0.00013567803295776496,0.0001718771423455061,0.00014003032280046127
2017/8/31,C,0.00011054070038888852,0.00014003032280046127,0.00012099149586610686
2017/9/1,A,0.0001290951775125613,0.00015479323063303052,0.00012407242906018617
2017/9/1,B,0.00015479323063303052,0.00019519928223710336,0.0001565998705765501
2017/9/1,C,0.00012407242906018617,0.0001565998705765501,0.00013214203610285041
2017/9/5,A,0.00012187240595479607,0.00014834362938199823,0.00011882985337184396
2017/9/5,B,0.00014834362938199823,0.00018951374898589513,0.00015209151762179236
2017/9/5,C,0.00011882985337184396,0.00015209151762179236,0.00012874318067150926
2017/9/6,A,0.00012179493234538957,0.00014747912867830868,0.00011530235919731836
2017/9/6,B,0.00014747912867830868,0.0001876451981781435,0.00014750035450708507
2017/9/6,C,0.00011530235919731836,0.00014750035450708507,0.00012356913561821964
2017/9/7,A,0.00012088415095864502,0.00014758091445463454,0.00011597622222499951
2017/9/7,B,0.00014758091445463454,0.0001897486984329535,0.00015000620532558268
2017/9/7,C,0.00011597622222499951,0.00015000620532558268,0.00012622081100964754
2017/9/8,A,0.00012010164952275087,0.00014680130130967906,0.00011614256027755078
2017/9/8,B,0.00014680130130967906,0.00018904731651865392,0.00015050259749361142
2017/9/8,C,0.00011614256027755078,0.00015050259749361142,0.00012763649606863827
2017/9/11,A,0.00013462144614122002,0.0001696711758804587,0.00013749729076110404
2017/9/11,B,0.0001696711758804587,0.00022474413189444272,0.00018342806908577095
2017/9/11,C,0.00013749729076110404,0.00018342806908577095,0.00015749313426838821
2017/9/12,A,0.00016310133433735817,0.00020717327827258087,0.00016608046415178703
2017/9/12,B,0.00020717327827258087,0.0002739459643819013,0.0002211790978223326
2017/9/12,C,0.00016608046415178703,0.0002211790978223326,0.00018610938378385545
2017/9/13,A,0.00016453529655104904,0.00020939898157960082,0.00016736382039251888
2017/9/13,B,0.00020939898157960082,0.00027737127672682293,0.000223194141796595
2017/9/13,C,0.00016736382039251888,0.000223194141796595,0.00018723972525047585
2017/9/14,A,0.00016185675927326025,0.00020726744614387753,0.0001673243616615311
2017/9/14,B,0.00020726744614387753,0.00027568558713123394,0.00022321855738879524
2017/9/14,C,0.0001673243616615311,0.00022321855738879524,0.00018753442275824545
2017/9/15,A,0.00016823416296462266,0.0002069974511159777,0.00017360653180394943
2017/9/15,B,0.0002069974511159777,0.00026424373420919843,0.00022267964111282514
2017/9/15,C,0.00017360653180394943,0.00022267964111282514,0.0001937162764909392
2017/9/18,A,0.00017213487714123286,0.0002107363118804339,0.00018027935243411473
2017/9/18,B,0.0002107363118804339,0.0002677772102268264,0.00022947562826047257
2017/9/18,C,0.00018027935243411473,0.00022947562826047257,0.00020194629113253192
2017/9/19,A,0.00018012492797836037,0.00022121155000862411,0.00018663459329660906
2017/9/19,B,0.00022121155000862411,0.00028131608994132206,0.0002378993345855856
2017/9/19,C,0.00018663459329660906,0.0002378993345855856,0.00020695792782976852
2017/9/20,A,0.00018164217947622656,0.00022335102564662927,0.00018537187537546145
2017/9/20,B,0.00022335102564662927,0.0002837064864902147,0.0002367424874810108
2017/9/20,C,0.00018537187537546145,0.0002367424874810108,0.00020738785577719757
2017/9/21,A,0.00023913990000984064,0.0002868162629991637,0.00023775080832508114
2017/9/21,B,0.0002868162629991637,0.0003536901147360813,0.00029459541873271965
2017/9/21,C,0.00023775080832508114,0.00029459541873271965,0.0002550829003371602
2017/9/22,A,0.0002833850028700246,0.0003364042557122418,0.00027269939001271304
2017/9/22,B,0.0003364042557122418,0.00040853054762642375,0.0003324046218386029
2017/9/22,C,0.00027269939001271304,0.0003324046218386029,0.0002801753021936598
2017/9/25,A,0.0002866156861910042,0.00034898060818667434,0.00028165150770447276
2017/9/25,B,0.00034898060818667434,0.0004321590930259781,0.00034870749590982695
2017/9/25,C,0.00028165150770447276,0.00034870749590982695,0.0002914019009819553
2017/9/26,A,0.0002598475596074415,0.0003177277248943656,0.00025134842909936675
2017/9/26,B,0.0003177277248943656,0.0003958361971671698,0.0003133504326312408
2017/9/26,C,0.00025134842909936675,0.0003133504326312408,0.0002571002409929245
2017/9/27,A,0.00031020425885166326,0.00037305419929246865,0.00030507684332759465
2017/9/27,B,0.00037305419929246865,0.00045659675726659793,0.00037228159205992574
2017/9/27,C,0.00030507684332759465,0.00037228159205992574,0.0003140455286852918
2017/9/28,A,0.0003092257041072293,0.0003735011827394342,0.00030503165123146533
